"code","name","category","country","is_task","status_event","default_responsible","use_matter_resp","unique","killer","notes","creator","updater","created_at","updated_at"
"PUB","{
    ""en"": ""Published"",
    ""fr"": ""Publié"",
    ""de"": ""Veröffentlicht""
}",NULL,NULL,"0","1",NULL,"0","0","0","For EP, this means publication WITH the search report (A1 publ.)","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"REC","{
    ""en"": ""Received"",
    ""fr"": ""Reçu"",
    ""de"": ""Empfangen""
}",NULL,NULL,"0","1",NULL,"0","1","0","Date the case was received from the client","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"REF","{
    ""en"": ""Refused"",
    ""fr"": ""Refusé"",
    ""de"": ""Zurückgewiesen""
}",NULL,NULL,"0","1",NULL,"0","0","0","This is the final decision, that can only be appealed - do not mistake with an exam report","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"REG","{
    ""en"": ""Registration"",
    ""fr"": ""Enregistrement"",
    ""de"": ""Registrierung""
}","TM",NULL,"0","1",NULL,"0","0","0",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"REGDM","{""en"": ""Registration DP""}","DP",NULL,"0","1",NULL,"0","0","0",NULL,"claire.yam",NULL,"2024-04-02 15:06:56","2024-04-02 15:06:56"
"REM","{
    ""en"": ""Reminder"",
    ""fr"": ""Rappel"",
    ""de"": ""Erinnerung""
}",NULL,NULL,"1","0",NULL,"0","0","0",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"REN","{
    ""en"": ""Renewal"",
    ""fr"": ""Renouvellement"",
    ""de"": ""Verlängerung""
}",NULL,NULL,"1","0",NULL,"0","0","0","AKA Annuity","system","claire.yam","2024-03-08 11:26:57","2024-03-27 10:11:17"
"REP","{
    ""en"": ""Respond"",
    ""fr"": ""Répondre"",
    ""de"": ""Erwidern""
}",NULL,NULL,"1","0",NULL,"1","0","0","Use for any response","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"SEND","{""en"": ""Send""}",NULL,NULL,"1","0","gestion.yamark","1","0","0",NULL,"claire.yam","claire.yam","2024-03-27 10:10:52","2024-03-27 10:24:33"
"SOL","{
    ""en"": ""Sold"",
    ""fr"": ""Vendu"",
    ""de"": ""Verkauft""
}",NULL,NULL,"0","1",NULL,"1","0","0",NULL,"system","claire.yam","2024-03-08 11:26:57","2026-01-21 14:38:26"
"SUS","{
    ""en"": ""Suspended"",
    ""fr"": ""Suspendu"",
    ""de"": ""Ausgesetzt""
}",NULL,NULL,"0","1",NULL,"0","0","0",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"TRF","{
    ""en"": ""Transformation"",
    ""fr"": ""Transformation"",
    ""de"": ""Transformation""
}",NULL,NULL,"0","1",NULL,"0","1","1","Case no longer followed","system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
"WAT","{
    ""en"": ""Watch"",
    ""fr"": ""Surveiller"",
    ""de"": ""Überwachen""
}",NULL,NULL,"1","0",NULL,"1","0","0",NULL,"system",NULL,"2024-03-08 11:26:57","2024-03-08 11:26:57"
